rank,team,run_id,model,model_type,f1_score,accuracy,precision,recall,prediction_hash,submission_date,submitter,submitter_url,pr_number,submission_path
11,Elhouiti_ikram,run_05,My GNN V1,human,0.33,0.4,0.15,0.12,97e988a81ff84a81c41963281dd13bb2649afcffe6063fdcdec84cec92acb8bf,2026-03-08 22:12,El-Ikram,https://github.com/El-Ikram,,submissions/inbox/Elhouiti_ikram/run_05/predictions.csv.enc
11,organizers,advanced_gnn,Advanced GNN (GraphSAGE),human,0.33,0.4,0.15,0.12,97e988a81ff84a81c41963281dd13bb2649afcffe6063fdcdec84cec92acb8bf,2026-04-15 18:45,organizer_bot,https://github.com/organizer_bot,,submissions/inbox/organizers/advanced_gnn/predictions.csv
12,Qwen2.5-Coder-32B-Instruct,run_01,SAGEConv,LLM,0.31,0.46,0.0,0.0,25655670edd253d3848716f9bb461ad383acd7ffc791de97845b77bc71946f3f,2026-05-15 17:57,/,https://github.com//,,submissions/inbox/Qwen2.5-Coder-32B-Instruct/run_01/predictions.csv.enc
12,Murad,run_01,GraphSAGE v1,human,0.31,0.39,0.38,0.93,cadba168ffed9d596f3f9d4e23de47727d87633fd549c56ba23fe7fc00223365,2026-03-24 18:24,Murad-Hossen,https://github.com/Murad-Hossen,,submissions/inbox/Murad/run_01/predictions.csv.enc
13,DeepSeek-v4-pro,run_01,-,llm,0.3,0.4,0.39,1.0,81bd171f204e1cc312ebd2a5efff2fdfdb7434da217e6a8298d6f4f91e6008b4,2026-05-15 17:57,abdksm,https://github.com/abdksm,,submissions/inbox/DeepSeek-v4-pro/run_01/predictions.csv.enc
14,LLM_gemini_25_pro,run_gemini,GraphSAGE,LLM,0.29,0.39,0.39,0.98,17488cafddccf2731c8337a599b22173ecac530b3d858e0a2fd93377e921be4c,2026-05-20 00:44,llm_gemini_2.5_pro,https://github.com/llm_gemini_2.5_pro,,submissions/inbox/LLM_gemini_25_pro/run_gemini/predictions.csv.enc
15,AIkram,run_1,AIkram-run_1,unknown,0.28,0.35,0.36,0.86,a52a8f687ee8fd454caa4749a098ca9b2917b31c77dadb03c07dfc00e7abdc04,2026-03-19 17:14,participant,https://github.com/participant,,submissions/inbox/AIkram/run_1/predictions.csv.enc
15,Muhammad_Isah,run_01,SAGEGNN,human,0.28,0.39,0.39,1.0,87e561b359b2fdd895d3d41bec3f1af13707850a1b84e189a06b6f81afcaacd1,2026-03-14 14:01,Muhammad0isah,https://github.com/Muhammad0isah,,submissions/inbox/Muhammad_Isah/run_01/predictions.csv.enc
15,claude_opus_4_6,run_001,GraphSAGE 3-layer,llm,0.28,0.39,0.39,1.0,bc2a98fce521375242cfd459ebc55d9a65a6d44531a81cf5483e0294986820fb,2026-05-20 14:33,ikram,https://github.com/ikram,,submissions/inbox/claude_opus_4_6/run_001/predictions.csv.enc
15,samuel,run_01,GCN,human,0.28,0.39,0.39,1.0,32f1814b94bab06178659c007b467a021673634b8269b16a850ff50db113d232,2026-03-08 22:12,samuelmatia,https://github.com/samuelmatia,,submissions/inbox/samuel/run_01/predictions.csv.enc
